股票代號,股票名稱,券商名稱,買進金額,買進股數,賣出金額,賣出股數,買賣超金額,買超比率
4919,新唐,華南永昌-麻豆,33372350.0,12650000.0,1411500.0,124000.0,31960850.0,15.127438654803207
3017,奇鋐,元大,16839000.0,12591000.0,7379500.0,6293000.0,9459500.0,14.117858109220387
6756,威鋒電子,元富,17554490.0,10678000.0,3143440.0,1762000.0,14411050.0,12.928584776583687
6187,萬潤,元大,14103700.0,10174000.0,6685410.0,4720000.0,7418290.0,11.697044207201458
3317,尼克森,群益金鼎,13845940.0,4532000.0,4395320.0,2388000.0,9450620.0,10.915690084502689
6104,創惟,元大-文心,9000860.0,3104000.0,2446420.0,680000.0,6554440.0,9.11591440850602
2603,長榮,統一,135494120.0,5928000.0,30284600.0,3419000.0,105209520.0,9.10666758255988
6257,矽格,元大,31487950.0,24422000.0,16095880.0,12265000.0,15392070.0,8.935145315905467
3189,景碩,華南永昌-麻豆,13137500.0,6509000.0,0.0,0.0,13137500.0,8.460274479317196
2618,長榮航,群益金鼎,9772940.0,7620000.0,3793490.0,3077000.0,5979450.0,8.094856071592185
6104,創惟,元大-向上,6851920.0,2700000.0,1322900.0,351000.0,5529020.0,7.689760388823143
3653,健策,元大,16672360.0,10306000.0,8908690.0,5162000.0,7763670.0,7.66446197069749
3293,鈊象,群益金鼎,13133240.0,9532000.0,8791790.0,6723000.0,4341450.0,7.4961137688870485
1815,富喬,元大,22275410.0,14089000.0,16031720.0,9590000.0,6243690.0,7.433055429132048
2615,萬海,統一,12742070.0,1974000.0,2065830.0,727000.0,10676240.0,7.401760922256982
2393,億光,港商麥格理,11496070.0,4823000.0,3784220.0,1372000.0,7711850.0,7.352722448016043
3691,碩禾,台新-台中,5878990.0,4969000.0,660460.0,1095000.0,5218530.0,7.3046914368260145
5299,杰力,群益金鼎,18433560.0,6096000.0,8375250.0,4440000.0,10058310.0,7.153100433532229
4966,譜瑞-KY,第一金-中壢,4931900.0,8818000.0,0.0,0.0,4931900.0,6.942644736736528
6104,創惟,元大-西螺,7111960.0,3004000.0,2124850.0,906000.0,4987110.0,6.936072022293965
3019,亞光,凱基,10691850.0,13612000.0,6054770.0,7326000.0,4637080.0,6.606145332974895
2409,友達,永豐金,25182810.0,28121000.0,17421410.0,19842000.0,7761400.0,6.525706013303481
3218,大學光,元大,19605680.0,13544000.0,14690730.0,10742000.0,4914950.0,6.396457094562982
2308,台達電,元大,14672710.0,11773000.0,9830500.0,8103000.0,4842210.0,6.285778672558755
6756,威鋒電子,群益金鼎,19304540.0,7880000.0,12541880.0,5238000.0,6762660.0,6.066984926512047
6147,頎邦,元大,19079400.0,17785000.0,11596360.0,11369000.0,7483040.0,6.046412899677836
8255,朋程,元大,13663420.0,5670000.0,8886810.0,4401000.0,4776610.0,5.99906986102297
2337,旺宏,永豐金,12608820.0,11669000.0,8660000.0,9700000.0,3948820.0,5.981136673763879
3481,群創,凱基,7902500.0,7353000.0,2579150.0,3262000.0,5323350.0,5.82343452840994
6756,威鋒電子,元大,23020310.0,9406000.0,16877090.0,6844000.0,6143220.0,5.511266741230129
2881,富邦金,元大,27247460.0,12697000.0,15764390.0,6890000.0,11483070.0,5.488810671410382
6271,同欣電,元大,65964790.0,38813000.0,49276160.0,31116000.0,16688630.0,5.378412361502167
8046,南電,凱基,18905110.0,11089000.0,11993700.0,7049000.0,6911410.0,4.97339846604477
5285,界霖,元大,16864730.0,7302000.0,12889660.0,6133000.0,3975070.0,4.881289138653678
1815,富喬,統一,8062080.0,8676000.0,4100770.0,4190000.0,3961310.0,4.715903064049476
3035,智原,元大-向上,3916270.0,2059000.0,562000.0,400000.0,3354270.0,4.701797038050231
6706,惠特,華南永昌-竹北,4236380.0,2425000.0,0.0,0.0,4236380.0,4.6996071143628235
3035,智原,永豐金-中壢,3335260.0,2123000.0,0.0,0.0,3335260.0,4.675150059216287
2002,中鋼,統一,13889520.0,23230000.0,8105500.0,9977000.0,5784020.0,4.661772413605783
3653,健策,凱基,12471480.0,8728000.0,7873910.0,5433000.0,4597570.0,4.538819968213442
2615,萬海,華南永昌-麻豆,6555030.0,1377000.0,60620.0,25000.0,6494410.0,4.50252805773521
2881,富邦金,元大-文心,13404230.0,6882000.0,4027960.0,1762000.0,9376270.0,4.481778029222588
2603,長榮,國票,120568890.0,3077000.0,68798430.0,3247000.0,51770460.0,4.481118912206926
5299,杰力,永豐金,31518290.0,19850000.0,25273770.0,16670000.0,6244520.0,4.440873140637013
2481,強茂,元大,32750020.0,15555000.0,25321900.0,14204000.0,7428120.0,4.365351959631137
2727,王品,群益金鼎,8850800.0,7395000.0,6073370.0,5546000.0,2777430.0,4.34667751315891
2618,長榮航,元富-吉利,3088070.0,2823000.0,0.0,0.0,3088070.0,4.180565468228964
2615,萬海,元富,6532920.0,468000.0,575170.0,91000.0,5957750.0,4.130465513568122
5471,松翰,元大-向上,7705200.0,6119000.0,846570.0,835000.0,6858630.0,4.085087815066514
2379,瑞昱,元大,24307240.0,16152000.0,19442580.0,13178000.0,4864660.0,4.04879568415655
3526,凡甲,永豐金,7698130.0,8456000.0,5361960.0,7063000.0,2336170.0,3.8948863996329472
6706,惠特,永豐金,11546780.0,15485000.0,8083720.0,10966000.0,3463060.0,3.841728412811249
2436,偉詮電,元大,37854250.0,29981000.0,29310800.0,25983000.0,8543450.0,3.82449898814808
2344,華邦電,元大-竹科,5928760.0,8913000.0,1368280.0,2996000.0,4560480.0,3.8070076963583124
8255,朋程,凱基,3669570.0,2244000.0,654690.0,680000.0,3014880.0,3.786466917458392
3406,玉晶光,凱基,8020760.0,4063000.0,5059460.0,2628000.0,2961300.0,3.763089421058865
2882,國泰金,元大-文心,5278080.0,2974000.0,0.0,0.0,5278080.0,3.7609478585047116
2881,富邦金,元大-向上,11560530.0,4460000.0,3782930.0,1218000.0,7777600.0,3.717627244104703
5351,鈺創,日盛-新莊,3443170.0,1660000.0,0.0,0.0,3443170.0,3.7124719745386376
3691,碩禾,元大,13908100.0,11189000.0,11294420.0,9252000.0,2613680.0,3.658525660406938
3406,玉晶光,國泰,4889780.0,3591000.0,2011340.0,1389000.0,2878440.0,3.657794587901489
3443,創意,元大,16802120.0,12537000.0,13848650.0,8560000.0,2953470.0,3.6188808618255965
3017,奇鋐,凱基,6291480.0,7727000.0,3875530.0,4651000.0,2415950.0,3.6056915586416824
2337,旺宏,元大-學甲,2376160.0,3089000.0,0.0,0.0,2376160.0,3.5990847186579225
2449,京元電子,元大,13472990.0,9821000.0,10476620.0,8412000.0,2996370.0,3.544398938373045
2383,台光電,元大,17587050.0,8992000.0,12545180.0,6242000.0,5041870.0,3.4406490478873994
2002,中鋼,群益金鼎,20493370.0,15076000.0,16232290.0,10929000.0,4261080.0,3.434321664891776
2449,京元電子,國票,7294930.0,7210000.0,4401030.0,4053000.0,2893900.0,3.423187419363348
2031,新光鋼,群益金鼎,6369280.0,4468000.0,3954680.0,2529000.0,2414600.0,3.4123615503478075
2031,新光鋼,元富-吉利,3998130.0,3361000.0,1666900.0,1411000.0,2331230.0,3.2945413803600263
3526,凡甲,群益金鼎,7015120.0,6219000.0,5040180.0,4368000.0,1974940.0,3.2926400673286156
2492,華新科,永豐金,10712550.0,10090000.0,8699600.0,8246000.0,2012950.0,3.2894677711578253
8255,朋程,永豐金,17517710.0,7918000.0,14931300.0,7160000.0,2586410.0,3.2483401992727936
3035,智原,永豐金-大園,2310000.0,1702000.0,0.0,0.0,2310000.0,3.2380074227465396
6290,良維,新光-台南,6183970.0,4421000.0,3187540.0,2477000.0,2996430.0,3.230931666544105
2313,華通,群益金鼎,7783680.0,3792000.0,5530150.0,2937000.0,2253530.0,3.2230166233075277
3016,嘉晶,富邦-台北,3884570.0,1551000.0,27780.0,23000.0,3856790.0,3.1748557489914737
3481,群創,中國信託,3672110.0,1899000.0,773460.0,959000.0,2898650.0,3.170954097659457
6223,旺矽,凱基-岡山,2489500.0,1210000.0,0.0,0.0,2489500.0,3.165527526038832
4966,譜瑞-KY,群益金鼎,8363930.0,5861000.0,6121300.0,4504000.0,2242630.0,3.156954392008646
6257,矽格,凱基,14006380.0,9696000.0,8577280.0,6942000.0,5429100.0,3.1516097207576608
6147,頎邦,群益金鼎,16126470.0,8509000.0,12263390.0,6877000.0,3863080.0,3.121428823644863
6271,同欣電,凱基,26825190.0,15547000.0,17174930.0,11514000.0,9650260.0,3.1100861889627787
6531,愛普,華南永昌-中正,5121360.0,2732000.0,6100.0,10000.0,5115260.0,3.092111339849226
2441,超豐,凱基,4270030.0,2192000.0,2208940.0,1347000.0,2061090.0,3.0860544876699465
6173,信昌電,大昌-樹林,1961890.0,638000.0,39600.0,20000.0,1922290.0,3.072313457835423
2603,長榮,群益金鼎,43801250.0,1809000.0,8438720.0,551000.0,35362530.0,3.0608903603808972
3189,景碩,富邦-板橋,4746400.0,3030000.0,5800.0,2000.0,4740600.0,3.052846979764118
2455,全新,群益金鼎,11959490.0,8079000.0,9272410.0,7168000.0,2687080.0,3.050235554721095
3260,威剛,群益金鼎,26781190.0,11254000.0,22061310.0,10116000.0,4719880.0,3.047664751453392
6257,矽格,國泰,12326510.0,7527000.0,7104120.0,4417000.0,5222390.0,3.031613911990496
5483,中美晶,華南永昌,13213610.0,8322000.0,7148440.0,4592000.0,6065170.0,3.0241729604930923
2308,台達電,群益金鼎-彰化,2326570.0,1874000.0,13400.0,70000.0,2313170.0,3.002776552855563
3042,晶技,元大,26997370.0,18518000.0,23196420.0,16417000.0,3800950.0,2.9879516594787705
2882,國泰金,元大,15151000.0,8402000.0,11009570.0,5680000.0,4141430.0,2.951016712449824
3019,亞光,國票,3768620.0,3197000.0,1747010.0,1490000.0,2021610.0,2.8800558684765796
8046,南電,元大-民生,7819900.0,3090000.0,3843490.0,1369000.0,3976410.0,2.8613946205427094
8016,矽創,元大,25041480.0,11351000.0,18716750.0,9272000.0,6324730.0,2.8530339262544278
2330,台積電,新百王,22131830.0,11249000.0,10818000.0,5698000.0,11313830.0,2.819078707049517
3653,健策,富邦,7272860.0,6106000.0,4420200.0,2902000.0,2852660.0,2.8162072944019902
5351,鈺創,富邦,4496900.0,1898000.0,1895800.0,848000.0,2601100.0,2.8045408309704287
5009,榮剛,群益金鼎,6855530.0,4552000.0,4190470.0,3127000.0,2665060.0,2.803645898973815
2303,聯電,元大-台南,17607000.0,6369000.0,8589740.0,3276000.0,9017260.0,2.7861902139659467
2340,光磊,永豐金-天母,1899350.0,833000.0,0.0,0.0,1899350.0,2.775804414776367
2034,允強,凱基-高美館,3038080.0,1851000.0,0.0,0.0,3038080.0,2.7415342694490854
2023,燁輝,永豐金,7773310.0,4408000.0,3190740.0,2048000.0,4582570.0,2.669909700459643
2401,凌陽,統一,10968730.0,7945000.0,4502990.0,3529000.0,6465740.0,2.620095759314306
5299,杰力,元大-善化,3697360.0,1945000.0,20970.0,9000.0,3676390.0,2.6145134622847723
8436,大江,群益金鼎,27687690.0,17279000.0,23717740.0,14431000.0,3969950.0,2.5977312163673
2337,旺宏,元富-城東,1775250.0,1198000.0,66540.0,66000.0,1708710.0,2.5881220328673065
2383,台光電,統一,14848990.0,12024000.0,11084410.0,9202000.0,3764580.0,2.569006855134295
5285,界霖,國票,8727650.0,5558000.0,6644040.0,4322000.0,2083610.0,2.5586223292143755
